DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,distance,odometer
2020-05-10,21:46:06,1589168766,881000000,5.807792142056358,0,0,0,2.0030099999999997,0,2.0030099999999997,0,240.023,0,31.2532,2.0030099999999997,7221.5,12.4566,0.897085,0.105688,11816,13452,739,66,40.5872116089,-105.0789871216,3.195783674123983,5.807792142056358,5.807792142056358,6.035031508448394,5.807792142056358,1.4002857685774286,2.0030099999999997,11.894357487197576,90363.81058987837
2020-05-10,21:46:07,1589168767,905000000,5.213712400628878,0,0,0,1.9958099999999999,0,1.9958099999999999,0,240.017,0,31.254,1.9958099999999999,7219.32,11.822000000000001,0.894225,0.104707,11816,13452,739,66,40.587162017800004,-105.07899475100001,3.4480487338679096,5.213712400628878,5.213712400628878,6.360584457134256,5.213712400628878,1.3812958283898076,1.9958099999999999,10.677682260604767,90374.48827213897
2020-05-10,21:46:08,1589168768,929000000,5.558022884634902,0,0,0,1.99557,0,1.99557,0,240.007,0,31.2545,1.99557,7217.88,11.543,0.897281,0.10581600000000001,11830,13430,730,66,40.5871200562,-105.0790252686,3.8136333445493835,5.558022884634902,5.558022884634902,6.681448757412809,5.558022884634902,1.3927807879122769,1.99557,11.382831408387734,90385.87110354737
2020-05-10,21:46:09,1589168769,953000000,6.083321740192448,0,0,0,1.99102,0,1.99102,0,239.99099999999999,0,31.2553,1.99102,7215.6,10.9026,0.9086059999999999,0.11003299999999999,11865,13445,725,66,40.5870819092,-105.0790786743,4.215545907272543,6.083321740192448,6.083321740192448,7.026480709730977,6.083321740192448,1.4078695629170461,1.99102,12.45864351566792,90398.32974706304
2020-05-10,21:46:10,1589168770,977000000,6.970091616994942,0,0,0,1.9953599999999998,0,1.9953599999999998,0,239.983,0,31.2556,1.9953599999999998,7207.91,11.2525,0.9095690000000001,0.110426,11834,13404,732,66,40.5870666504,-105.0791549683,4.59324793342053,6.970091616994942,6.970091616994942,7.3308075442792475,6.970091616994942,1.4282985894396052,1.9953599999999998,14.274746647820432,90412.60449371085
2020-05-10,21:46:12,1589168772,1000000,7.867132720099648,0,0,0,1.99357,0,1.99357,0,240.005,0,31.2572,1.99357,7195.35,11.2806,0.9150790000000001,0.112126,11868,13433,720,66,40.5870666504,-105.079246521,4.738719956217152,7.867132720099648,7.867132720099648,7.421594147855556,7.867132720099648,1.444363240371839,1.99357,16.111888576037686,90428.71638228689
2020-05-10,21:46:13,1589168773,25000000,9.143847316634622,0,0,0,1.9968099999999998,0,1.9968099999999998,0,239.981,0,31.258,1.9968099999999998,7196.12,11.5468,0.916588,0.11192200000000001,11850,13442,736,66,40.587070465100005,-105.07934570309999,4.780395492278311,9.143847316634622,9.143847316634622,7.406591708819517,9.143847316634622,1.4618660738637037,1.9968099999999998,18.726600193933443,90447.44298248082
2020-05-10,21:46:14,1589168774,49000000,10.100479553967768,0,0,0,1.99407,0,1.99407,0,239.987,0,31.2588,1.99407,7189.87,11.1868,0.915653,0.112606,11822,13418,731,66,40.5870780945,-105.0794677734,4.794505198805278,10.100479553967768,10.100479553967768,7.388778062648165,10.100479553967768,1.4721127213393874,1.99407,20.685780700905934,90468.12876318172
2020-05-10,21:46:15,1589168775,73000000,9.915353526853664,0,0,0,1.9969400000000002,0,1.9969400000000002,0,240.00400000000002,0,31.2597,1.9969400000000002,7183.79,10.9479,0.909206,0.114146,11867,13438,741,66,40.587085723899996,-105.0795898438,4.792027592380726,9.915353526853664,9.915353526853664,7.391942243729183,9.915353526853664,1.470282507403087,1.9969400000000002,21.327925663206663,90489.45668884493
2020-05-10,21:46:16,1589168776,200000000,15.619544915434885,0,0,0,1.9953599999999998,0,1.9953599999999998,0,240.003,0,31.2604,1.9953599999999998,7174.13,11.2403,0.910101,0.115101,11822,13430,746,66,40.5870933533,-105.0797195435,4.78821477038168,15.619544915434885,15.619544915434885,7.2775933121952505,15.619544915434885,1.5068612333875337,1.9953599999999998,33.59764147060345,90523.05433031554
2020-05-10,21:46:17,1589168777,224000000,11.04129277299318,0,0,0,1.9948599999999999,0,1.9948599999999999,0,240.012,0,31.2608,1.9948599999999999,7159.33,11.698,0.904533,0.11361099999999999,11826,13451,738,66,40.5871086121,-105.0799865723,4.7874946342456415,11.04129277299318,11.04129277299318,7.356278891420438,11.04129277299318,1.4804736494613038,1.9948599999999999,22.612566040680026,90545.66689635623
2020-05-10,21:46:18,1589168778,248000000,5.363813003332568,0,0,0,1.9987599999999999,0,1.9987599999999999,0,239.99599999999998,0,31.2615,1.9987599999999999,7153.73,11.2699,0.8990370000000001,0.112889,11855,13424,750,66,40.5871086121,-105.0799865723,4.789694149463163,5.363813003332568,5.363813003332568,7.681906691921544,5.363813003332568,1.386477851466275,1.9987599999999999,10.985089552588832,90556.65198590881
2020-05-10,21:46:19,1589168779,272000000,10.399589989951172,0,0,0,1.9991700000000001,0,1.9991700000000001,0,239.993,0,31.2622,1.9991700000000001,7152.04,11.507,0.893416,0.112016,11872,13479,760,66,40.5871162415,-105.08011627200001,4.77217360936343,10.399589989951172,10.399589989951172,7.357797858028896,10.399589989951172,1.4749334234915377,1.9991700000000001,21.298361311037834,90577.95034721986
2020-05-10,21:46:20,1589168780,296000000,12.924197842366661,0,0,0,2.0000400000000003,0,2.0000400000000003,0,239.96200000000002,0,31.2624,2.0000400000000003,7150.35,11.5986,0.890127,0.112049,11824,13464,752,66,40.5871200562,-105.08023834229999,4.776536354209601,12.924197842366661,12.924197842366661,7.306008184016882,12.924197842366661,1.493575940749337,2.0000400000000003,26.468755356996542,90604.41910257685
2020-05-10,21:46:21,1589168781,320000000,10.39958789296598,0,0,0,2.00033,0,2.00033,0,240.003,0,31.2633,2.00033,7139.98,12.2113,0.898416,0.11066300000000001,11868,13379,733,66,40.5871315002,-105.08042907709999,4.772173098420685,10.39958789296598,10.39958789296598,7.357797405808146,10.39958789296598,1.474933404279835,2.00033,21.298357016411956,90625.71745959326
2020-05-10,21:46:22,1589168782,344000000,4.408935151978638,0,0,0,2.00212,0,2.00212,0,239.993,0,31.2638,2.00212,7144.38,11.7569,0.894092,0.110643,11853,13421,741,66,40.5871315002,-105.0804901123,4.759383492474099,4.408935151978638,4.408935151978638,7.80839692106004,4.408935151978638,1.347757737987145,2.00212,9.02949962013045,90634.74695921339
2020-05-10,21:46:23,1589168783,368000000,3.797570948440453,0,0,0,2.0024900000000003,0,2.0024900000000003,0,240.002,0,31.2644,2.0024900000000003,7133.59,11.6277,0.884682,0.108958,11814,13445,747,66,40.587135314899996,-105.08053588870001,4.821685567907507,3.797570948440453,3.797570948440453,8.016571856349021,3.797570948440453,1.313315195725855,2.0024900000000003,7.777424766402458,90642.52438397979
