nearest10hz,timestamp,deviceTimestamp,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,wind_up,wind_right
1601568822.8,1601568822.806854,1601568822.806222,35,89,5.04,4.0752000000000015,250,1601568822.807,-2.9984894248969822,-4.051007426404075
1601568822.9,1601568822.906207,1601568822.905374,35,90,5.14,4.0613,250,1601568822.906,-3.115112247127481,-4.088480853299471
1601568823.0,1601568823.005917,1601568823.0051029,35,91,5.14,4.0578,250,1601568823.006,-3.129402820855408,-4.077552940774922
1601568823.1,1601568823.1030939,1601568823.101531,35,92,5.09,4.07,250,1601568823.103,-3.0494695254151165,-4.0753939212749115
1601568823.2,1601568823.189224,1601568823.1889741,35,93,4.98,4.0892,250,1601568823.189,-2.906465667758128,-4.043866630113227
1601568823.3,1601568823.301719,1601568823.299715,35,94,4.83,4.1136,250,1601568823.302,-2.7223935743493284,-3.9896708167894612
1601568823.4,1601568823.409239,1601568823.409239,35,95,4.73,4.1450000000000005,250,1601568823.409,-2.542053321319613,-3.988842552867677
1601568823.5,1601568823.4965029,1601568823.4965029,35,96,4.42,4.2026,250,1601568823.497,-2.156929368537731,-3.857985964093108
1601568823.6,1601568823.605394,1601568823.605394,35,97,4.0600000000000005,4.2463000000000015,250,1601568823.605,-1.824547311443925,-3.6269308110719107
1601568823.7,1601568823.70523,1601568823.704343,35,98,3.65,4.3231,250,1601568823.705,-1.385287020663439,-3.3769038882357036
1601568823.8,1601568823.802692,1601568823.802692,35,99,3.49,4.3649,250,1601568823.803,-1.1884774301571714,-3.281405399825966
1601568823.9,1601568823.902234,1601568823.901419,35,100,3.34,4.4121000000000015,250,1601568823.902,-0.9879595345329455,-3.1905385059775484
1601568824.0,1601568824.000296,1601568823.999541,35,101,3.18,4.4417,250,1601568824.0,-0.850317348376823,-3.0642063257961936
1601568824.1,1601568824.097532,1601568824.097001,35,102,3.03,4.4417,250,1601568824.098,-0.8102080394911237,-2.919668291560524
1601568824.2,1601568824.195365,1601568824.195365,35,103,2.93,4.433,250,1601568824.195,-0.8080013337351613,-2.816386664625829
1601568824.3,1601568824.3019211,1601568824.299967,35,104,2.82,4.4016,250,1601568824.302,-0.8623839572652106,-2.6849010987840116
1601568824.4,1601568824.400897,1601568824.4006288,35,105,2.93,4.3702000000000005,250,1601568824.401,-0.9831613915585243,-2.7601256634705433
1601568824.5,1601568824.499835,1601568824.499142,35,106,3.03,4.351,250,1601568824.5,-1.0713287211768494,-2.834282055685633
1601568824.6,1601568824.599667,1601568824.5983279,35,107,3.08,4.3405000000000005,250,1601568824.6,-1.1191978761630557,-2.8694592023571457
1601568824.7,1601568824.708479,1601568824.708479,35,108,3.29,4.3108,250,1601568824.708,-1.2859997991973142,-3.0282510656259114
1601568824.8,1601568824.8080618,1601568824.80726,35,109,3.44,4.2794,250,1601568824.808,-1.443375210544125,-3.1225419135035968
1601568824.9,1601568824.906796,1601568824.905804,35,110,3.8,4.2410000000000005,250,1601568824.907,-1.7256720321076229,-3.38556583713883
1601568825.0,1601568825.003642,1601568825.002793,35,111,4.11,4.2410000000000005,250,1601568825.004,-1.8664505399900873,-3.6617567343791033
