nearest10hz,timestamp,deviceTimestamp,deviceID,latitude,longitude,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568763.3,1601568763.3248382,1601568763.322789,16,40.5949615,-105.1400313,1601568763.325,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.223,1601568763.423,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.4,1601568763.42271,1601568763.421717,16,40.5949615,-105.1400313,1601568763.423,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.325,1601568763.524,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.5,1601568763.5242212,1601568763.522299,16,40.5949615,-105.1400313,1601568763.524,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.423,1601568763.667,0.24399995803833008,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.7,1601568763.69436,1601568763.69242,16,40.5949615,-105.1400313,1601568763.6945,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.5955,1601568763.771,0.17549991607666016,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568763.8,1601568763.820484,1601568763.819435,16,40.5949615,-105.1400313,1601568763.82,40.5949615,40.5949615,-105.1400313,-105.1400314,1601568763.722,1601568763.92,0.19800019264221191,0.008443347545243614,0.04264312793119761,1.5707963267948966,0.0,2.6111385063286123e-18,0.04264312793119761
1601568763.9,1601568763.920217,1601568763.9184132,16,40.5949615,-105.1400314,1601568763.92,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568763.82,1601568764.028,0.20800018310546875,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.0,1601568764.027977,1601568764.026374,16,40.5949615,-105.1400313,1601568764.028,40.5949615,40.5949615,-105.1400314,-105.1400313,1601568763.92,1601568764.127,0.2070000171661377,0.008443347545243614,0.04078911519348815,4.71238898038469,3.141592653589793,-7.49283890426369e-18,-0.04078911519348815
1601568764.1,1601568764.127382,1601568764.126535,16,40.5949615,-105.1400313,1601568764.127,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.028,1601568764.219,0.19099998474121094,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.2,1601568764.219017,1601568764.21702,16,40.5949615,-105.1400313,1601568764.219,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.127,1601568764.321,0.1940000057220459,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568764.3,1601568764.32093,1601568764.319933,16,40.5949615,-105.1400313,1601568764.321,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568764.219,1601568764.419,0.19999980926513672,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
