nearest10hz,nearest10hz_x,bearing_north,bearing_east,latitude,longitude,velocity_ms,nearest10hz_y,wind_up,wind_right,windSpeed
1601568982.2,1601568982.2,-3.2530432207667315,6.107952287165396,40.5949949,-105.14049820000001,6.9202146887553555,1601568982.2,6.6707556554730045,-0.8910213156681077,6.73
1601568982.3,1601568982.3,-3.3358463330154926,5.999216173808392,40.5949977,-105.14050490000001,6.864289144374465,1601568982.3,6.525085222015071,-0.8483294439311524,6.58
1601568982.4,1601568982.4,-3.2802491241552474,5.699255481949709,40.5950006,-105.1405117,6.575830545646313,1601568982.4,6.319673517701671,-0.7991411825580006,6.37
1601568982.5,1601568982.5,-2.72579002166013,4.369512709122589,40.595003600000005,-105.1405184,5.150007044399625,1601568982.5,6.264364894886982,-0.836739184995905,6.32
1601568982.6,,,,,,,1601568982.6,6.103650076374277,-0.9024166139739914,6.17
1601568982.7,1601568982.7,-4.543811805474242,6.576527186400645,40.59500859999999,-105.1405282,7.993750577583629,1601568982.7,5.925702125986477,-1.003072437104794,6.01
1601568982.8,1601568982.8,-3.7594464773477507,5.06600421469925,40.5950137,-105.1405378,6.308552648539361,1601568982.8,5.8146375385678475,-1.0573978887238429,5.91
1601568982.9,1601568982.9,-3.990250654249817,4.96905088060433,40.5950174,-105.140544,6.37287744568933,1601568982.9,5.544136233487301,-1.0886015912781173,5.65
1601568983.0,1601568983.0,-4.368369555364743,5.169389823363351,40.595021200000005,-105.1405501,6.767957130340745,1601568983.0,5.387523250323414,-1.1066134045928755,5.5
1601568983.1,1601568983.1,-4.459084952157573,5.014572110597699,40.5950251,-105.140556,6.710392839688476,1601568983.1,5.189141328514778,-1.0280623875523731,5.29
1601568983.2,1601568983.2,-4.628417324359758,4.88599305070296,40.595029100000005,-105.1405618,6.730169018676364,1601568983.2,5.057062089380497,-0.9196320047445942,5.14
1601568983.3,1601568983.3,-4.7735203859286885,4.690745249510836,40.5950333,-105.14056740000001,6.692502362396688,1601568983.3,4.972221289583836,-0.8237811890358103,5.04
1601568983.4,1601568983.4,-4.868235925930323,4.4527066791105225,40.5950376,-105.14057279999999,6.597447824781498,1601568983.4,4.837041247950707,-0.6460897504398759,4.88
1601568983.5,1601568983.5,-4.06374894399125,3.492624927465519,40.5950421,-105.140578,5.35840315427493,1601568983.5,4.698547854839669,-0.5445622607026257,4.73
1601568983.6,,,,,,,1601568983.6,4.599436438675612,-0.4354129609726896,4.62
1601568983.7,1601568983.7,-5.9704279474784325,4.804927536006598,40.595048999999996,-105.14058560000001,7.664628286952242,1601568983.7,4.456169409217154,-0.3513604934497282,4.47
1601568983.8,1601568983.8,-5.447422722915116,3.9231627313056108,40.5950561,-105.14059280000001,6.71309318708129,1601568983.8,4.415763768451095,-0.1934692255491373,4.42
1601568983.9,1601568983.9,-5.531523327050631,3.8145015785088288,40.595061,-105.1405973,6.719238990402978,1601568983.9,4.418664260785577,-0.10865611099358347,4.42
1601568984.0,1601568984.0,-5.320334501100383,3.5146920397837103,40.5950659,-105.1406017,6.376442529978456,1601568984.0,4.419894782317452,0.030497757998946086,4.42
1601568984.1,1601568984.1,-5.670939740713058,3.50398313456437,40.595071000000004,-105.140606,6.6661424639824665,1601568984.1,4.5679981205702935,0.13525224754608203,4.57
1601568984.2,1601568984.2,-6.118665985834315,3.529226389289908,40.5950761,-105.14061000000001,7.063533984703838,1601568984.2,4.668604054319246,0.3263988112629905,4.68
1601568984.3,1601568984.3,-5.893329570616697,3.2084659882656723,40.5950814,-105.1406139,6.710110835579603,1601568984.3,4.802685664900805,0.5129428858618815,4.83
1601568984.4,1601568984.4,-5.95285379372775,3.0702998867742917,40.5950867,-105.1406176,6.698000424322553,1601568984.4,4.929097703224895,0.7102083018826727,4.98
1601568984.5,1601568984.5,-4.629516863773106,2.234033694603168,40.595092,-105.1406211,5.140363113689719,1601568984.5,4.975223404396045,0.8054514736157794,5.04
1601568984.6,,,,,,,1601568984.6,4.961965176942185,0.8834600063461365,5.04
1601568984.7,1601568984.7,-7.321834042578947,3.157745005793877,40.59510015,-105.14062594999999,7.974165159986722,1601568984.7,4.890192889618243,0.9414953543842834,4.98
1601568984.8,1601568984.8,-6.202333686091323,2.460871569536363,40.5951084,-105.1406305,6.672693012223441,1601568984.8,4.829363660121363,0.9910331166510983,4.93
1601568984.9,1601568984.9,-5.902290833969563,2.20086824350512,40.595114,-105.1406333,6.299274411710481,1601568984.9,4.829363660121363,0.9910331166510983,4.93
