nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,sequenceID,windSpeed,windAngle,windReference,nearestMS,timestamp,deviceTimestamp,name,channel,deviceID,latitude,longitude,locDevice,nearestMS,nextLat,prevLat,nextLon,prevLon,prevTime_ms,nextTime_ms,timediff_ms,distance_ms,velocity_ms,bearing_ms,theta_ms,bearing_north,bearing_south
1601568760.124,,,,,,,,,,,1601568760.124354,1601568760.1224449,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.124,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.022,1601568760.224,0.20199990272521973,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.201,1601568760.201142,1601568760.2004411,Actisense,WindData,35.0,216.0,3.65,4.4295,250.0,1601568760.201,,,,,,,,,,,,,,,,,,,,,,
1601568760.224,,,,,,,,,,,1601568760.2242491,1601568760.22228,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.224,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.124,1601568760.326,0.20199990272521973,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.303,1601568760.303414,1601568760.302652,Actisense,WindData,35.0,217.0,3.54,4.4592,250.0,1601568760.303,,,,,,,,,,,,,,,,,,,,,,
1601568760.326,,,,,,,,,,,1601568760.326396,1601568760.325402,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.326,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.224,1601568760.425,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.403,1601568760.403144,1601568760.402391,Actisense,WindData,35.0,218.0,3.49,4.4749,250.0,1601568760.403,,,,,,,,,,,,,,,,,,,,,,
1601568760.425,,,,,,,,,,,1601568760.425219,1601568760.424162,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.425,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.326,1601568760.527,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.492,1601568760.49218,1601568760.490527,Actisense,WindData,35.0,219.0,3.44,4.5150000000000015,250.0,1601568760.492,,,,,,,,,,,,,,,,,,,,,,
1601568760.527,,,,,,,,,,,1601568760.526761,1601568760.5240939,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.527,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.425,1601568760.682,0.2569999694824219,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.588,1601568760.588391,1601568760.588391,Actisense,WindData,35.0,220.0,3.54,4.5307,250.0,1601568760.588,,,,,,,,,,,,,,,,,,,,,,
1601568760.682,,,,,,,,,,,1601568760.682182,1601568760.677571,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.682,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.527,1601568760.727,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.692,1601568760.692184,1601568760.691414,Actisense,WindData,35.0,221.0,3.65,4.5098,250.0,1601568760.692,,,,,,,,,,,,,,,,,,,,,,
1601568760.727,,,,,,,,,,,1601568760.727062,1601568760.725075,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.727,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.682,1601568760.826,0.14400005340576172,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.792,1601568760.791885,1601568760.791089,Actisense,WindData,35.0,222.0,3.7,4.5098,250.0,1601568760.792,,,,,,,,,,,,,,,,,,,,,,
1601568760.826,,,,,,,,,,,1601568760.825798,1601568760.8237948,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.826,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.727,1601568760.925,0.1979999542236328,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.891,1601568760.891021,1601568760.890208,Actisense,WindData,35.0,223.0,3.85,4.4976,250.0,1601568760.891,,,,,,,,,,,,,,,,,,,,,,
1601568760.925,,,,,,,,,,,1601568760.924804,1601568760.923808,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568760.925,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.826,1601568761.026,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568760.992,1601568760.99169,1601568760.9909039,Actisense,WindData,35.0,224.0,3.85,4.4854,250.0,1601568760.992,,,,,,,,,,,,,,,,,,,,,,
1601568761.026,,,,,,,,,,,1601568761.025599,1601568761.023802,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568761.026,40.5949615,40.5949615,-105.1400314,-105.1400314,1601568760.925,1601568761.126,0.20099997520446777,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.091,1601568761.090689,1601568761.089865,Actisense,WindData,35.0,225.0,3.9,4.4644,250.0,1601568761.091,,,,,,,,,,,,,,,,,,,,,,
1601568761.126,,,,,,,,,,,1601568761.125516,1601568761.122831,Actisense,Location,16.0,40.5949615,-105.1400314,HEMISPHERE,1601568761.126,40.5949615,40.5949615,-105.1400314,-105.1400313,1601568761.026,1601568761.225,0.19899988174438477,0.008443347545243614,0.042428907350252044,4.71238898038469,3.141592653589793,-7.794063836670865e-18,-0.042428907350252044
1601568761.202,1601568761.201584,1601568761.201584,Actisense,WindData,35.0,226.0,3.85,4.4313,250.0,1601568761.202,,,,,,,,,,,,,,,,,,,,,,
1601568761.225,,,,,,,,,,,1601568761.2252991,1601568761.224334,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.225,40.5949615,40.5949615,-105.1400314,-105.1400313,1601568761.126,1601568761.326,0.20000004768371582,0.008443347545243614,0.04221672766096585,4.71238898038469,3.141592653589793,-7.755087060071602e-18,-0.04221672766096585
1601568761.308,1601568761.307551,1601568761.301524,Actisense,WindData,35.0,227.0,3.85,4.4225,250.0,1601568761.308,,,,,,,,,,,,,,,,,,,,,,
1601568761.326,,,,,,,,,,,1601568761.32561,1601568761.3235052,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.326,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.225,1601568761.426,0.20100021362304688,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.391,1601568761.390532,1601568761.390532,Actisense,WindData,35.0,228.0,3.85,4.3999000000000015,250.0,1601568761.391,,,,,,,,,,,,,,,,,,,,,,
1601568761.426,,,,,,,,,,,1601568761.426245,1601568761.424196,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.426,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.326,1601568761.526,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.492,1601568761.492067,1601568761.492067,Actisense,WindData,35.0,229.0,3.9,4.3859,250.0,1601568761.492,,,,,,,,,,,,,,,,,,,,,,
1601568761.526,,,,,,,,,,,1601568761.525918,1601568761.525208,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.526,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.426,1601568761.673,0.24699997901916504,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.592,1601568761.591749,1601568761.590766,Actisense,WindData,35.0,230.0,3.9,4.3719,250.0,1601568761.592,,,,,,,,,,,,,,,,,,,,,,
1601568761.673,,,,,,,,,,,1601568761.67258,1601568761.6685948,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.673,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.526,1601568761.726,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.704,1601568761.7035382,1601568761.702709,Actisense,WindData,35.0,231.0,3.8,4.3580000000000005,250.0,1601568761.704,,,,,,,,,,,,,,,,,,,,,,
1601568761.726,,,,,,,,,,,1601568761.7263892,1601568761.725392,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.726,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.673,1601568761.826,0.1529998779296875,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.792,1601568761.792248,1601568761.7918632,Actisense,WindData,35.0,232.0,3.75,4.343999999999999,250.0,1601568761.792,,,,,,,,,,,,,,,,,,,,,,
1601568761.826,,,,,,,,,,,1601568761.8261788,1601568761.824372,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.826,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.726,1601568761.926,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.891,1601568761.891459,1601568761.890708,Actisense,WindData,35.0,233.0,3.6,4.3353,250.0,1601568761.891,,,,,,,,,,,,,,,,,,,,,,
1601568761.926,,,,,,,,,,,1601568761.9264169,1601568761.9243698,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568761.926,40.5949615,40.5949615,-105.1400313,-105.1400313,1601568761.826,1601568762.026,0.20000004768371582,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568761.991,1601568761.991258,1601568761.990485,Actisense,WindData,35.0,234.0,3.49,4.3335,250.0,1601568761.991,,,,,,,,,,,,,,,,,,,,,,
1601568762.026,,,,,,,,,,,1601568762.0261,1601568762.024096,Actisense,Location,16.0,40.5949615,-105.1400313,HEMISPHERE,1601568762.026,40.5949615,40.594961600000005,-105.1400313,-105.1400313,1601568761.926,1601568762.125,0.19899988174438477,0.011119493584486821,0.055876885388152164,3.141592653589793,4.71238898038469,-0.055876885388152164,6.842944883692406e-18
1601568762.092,1601568762.091658,1601568762.0911741,Actisense,WindData,35.0,235.0,3.49,4.3231,250.0,1601568762.092,,,,,,,,,,,,,,,,,,,,,,
1601568762.125,,,,,,,,,,,1601568762.125035,1601568762.124178,Actisense,Location,16.0,40.594961600000005,-105.1400313,HEMISPHERE,1601568762.125,40.5949615,40.594961600000005,-105.1400313,-105.1400313,1601568762.026,1601568762.223,0.19700002670288086,0.011119493584486821,0.05644412221962513,3.141592653589793,4.71238898038469,-0.05644412221962513,6.912411360694591e-18
1601568762.2,1601568762.200275,1601568762.199889,Actisense,WindData,35.0,236.0,3.65,4.2724,250.0,1601568762.2,,,,,,,,,,,,,,,,,,,,,,
1601568762.223,,,,,,,,,,,1601568762.222775,1601568762.222331,Actisense,Location,16.0,40.594961600000005,-105.1400313,HEMISPHERE,1601568762.223,40.594961600000005,40.594961600000005,-105.1400313,-105.1400313,1601568762.125,1601568762.324,0.19899988174438477,0.0,0.0,0.0,1.5707963267948966,0.0,0.0
1601568762.302,1601568762.301802,1601568762.300818,Actisense,WindData,35.0,237.0,3.8,4.2445,250.0,1601568762.302,,,,,,,,,,,,,,,,,,,,,,
